created_at	id	id_str	text	truncated	source	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	in_reply_to_screen_name	geo	coordinates	place	contributors	is_quote_status	retweet_count	favorite_count	favorited	retweeted	possibly_sensitive	lang	entities.hashtags	entities.symbols	entities.user_mentions	entities.urls	entities.media	extended_entities.media	metadata.iso_language_code	metadata.result_type	user.id	user.id_str
Tue Nov 01 11:28:15 +0000 2022	1.58741E+18	1.58741E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	1.49674E+18	1.49674E+18
Tue Nov 01 11:17:28 +0000 2022	1.5874E+18	1.5874E+18	"https://t.co/m8EbxpvVro
#ArrestKohli #bbsuomi #CurtainCall #Davido #ElClasico #FlipkartDoglaHai #GOAT𓃵 #Harryween… https://t.co/Sf0QwBcUGI"	TRUE	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>										FALSE	0	0	FALSE	FALSE	FALSE	und	[{'text': 'ArrestKohli', 'indices': [24, 36]}, {'text': 'bbsuomi', 'indices': [37, 45]}, {'text': 'CurtainCall', 'indices': [46, 58]}, {'text': 'Davido', 'indices': [59, 66]}, {'text': 'ElClasico', 'indices': [67, 77]}, {'text': 'FlipkartDoglaHai', 'indices': [78, 95]}, {'text': 'GOAT𓃵', 'indices': [96, 102]}, {'text': 'Harryween', 'indices': [103, 113]}]	[]	[]	[{'url': 'https://t.co/m8EbxpvVro', 'expanded_url': 'https://www.fiverr.com/share/1NQ0NK', 'display_url': 'fiverr.com/share/1NQ0NK', 'indices': [0, 23]}, {'url': 'https://t.co/Sf0QwBcUGI', 'expanded_url': 'https://twitter.com/i/web/status/1587403444817743873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]			und	recent	1.56277E+18	1.56277E+18
Tue Nov 01 11:10:31 +0000 2022	1.5874E+18	1.5874E+18	@SeputarMadrid Musim lalu #elclasico pake special jersey kebantai 4-0	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	1.58737E+18	1.58737E+18	473090819	473090819	SeputarMadrid					FALSE	0	0	FALSE	FALSE		in	[{'text': 'elclasico', 'indices': [26, 36]}]	[]	[{'screen_name': 'SeputarMadrid', 'name': 'Seputar Real Madrid', 'id': 473090819, 'id_str': '473090819', 'indices': [0, 14]}]	[]			in	recent	1.51242E+18	1.51242E+18
Tue Nov 01 10:55:06 +0000 2022	1.5874E+18	1.5874E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	1.27729E+18	1.27729E+18
Tue Nov 01 10:48:44 +0000 2022	1.5874E+18	1.5874E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	1.51291E+18	1.51291E+18
Tue Nov 01 10:39:27 +0000 2022	1.58739E+18	1.58739E+18	@mindao_ @WhoScored Chyba dwie. Po #ElClasico i Valladolid.	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1.58739E+18	1.58739E+18	1.2513E+18	1.2513E+18	mindao_					FALSE	0	0	FALSE	FALSE		pl	[{'text': 'ElClasico', 'indices': [35, 45]}]	[]	[{'screen_name': 'mindao_', 'name': 'Mindao', 'id': 1251296289511419904, 'id_str': '1251296289511419904', 'indices': [0, 8]}, {'screen_name': 'WhoScored', 'name': 'WhoScored.com', 'id': 99806132, 'id_str': '99806132', 'indices': [9, 19]}]	[]			pl	recent	7.50418E+17	7.50418E+17
Tue Nov 01 10:39:21 +0000 2022	1.58739E+18	1.58739E+18	"RT @realmadrid: ⚽ 12' | 1-0 | ¡¡¡GOOOOOOOOOOOOOOOOOOOOOOL de
@Benzema!!!
#ElClásico | #FIFA23 https://t.co/tPuvQQ8dMS"	FALSE	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>										FALSE	3737	0	FALSE	FALSE	FALSE	en	[{'text': 'ElClásico', 'indices': [73, 83]}, {'text': 'FIFA23', 'indices': [86, 93]}]	[]	[{'screen_name': 'realmadrid', 'name': 'Real Madrid C.F.', 'id': 14872237, 'id_str': '14872237', 'indices': [3, 14]}, {'screen_name': 'Benzema', 'name': 'Karim Benzema', 'id': 1964571728, 'id_str': '1964571728', 'indices': [61, 69]}]	[]	[{'id': 1581653298074951680, 'id_str': '1581653298074951680', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1581653298074951680/img/3cotKCAjdPuOYK0j.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1581653298074951680/img/3cotKCAjdPuOYK0j.jpg', 'url': 'https://t.co/tPuvQQ8dMS', 'display_url': 'pic.twitter.com/tPuvQQ8dMS', 'expanded_url': 'https://twitter.com/realmadrid/status/1581653482238627840/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1581653482238627840, 'source_status_id_str': '1581653482238627840', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]	[{'id': 1581653298074951680, 'id_str': '1581653298074951680', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1581653298074951680/img/3cotKCAjdPuOYK0j.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1581653298074951680/img/3cotKCAjdPuOYK0j.jpg', 'url': 'https://t.co/tPuvQQ8dMS', 'display_url': 'pic.twitter.com/tPuvQQ8dMS', 'expanded_url': 'https://twitter.com/realmadrid/status/1581653482238627840/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1581653482238627840, 'source_status_id_str': '1581653482238627840', 'source_user_id': 14872237, 'source_user_id_str': '14872237', 'video_info': {'aspect_ratio': [1, 1], 'duration_millis': 5271, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1581653298074951680/vid/540x540/wHhqAzrOATIb15mm.mp4?tag=14'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1581653298074951680/pl/SzVWylASaYkW671X.m3u8?tag=14&container=fmp4'}, {'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1581653298074951680/vid/720x720/imAD3uUh_8Zg7q1H.mp4?tag=14'}, {'bitrate': 432000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1581653298074951680/vid/320x320/TMWXGX7RskJpSfq4.mp4?tag=14'}]}, 'additional_media_info': {'title': '', 'description': '', 'embeddable': True, 'monetizable': True, 'source_user': {'id': 14872237, 'id_str': '14872237', 'name': 'Real Madrid C.F.', 'screen_name': 'realmadrid', 'location': 'Madrid, Spain', 'description': '⚽️ Cuenta oficial del Real Madrid C.F. 🏆@realmadriden: 🇬🇧. @realmadridarab: العربية. @realmadridfra: 🇫🇷. @realmadridjapan: 🇯🇵.', 'url': 'https://t.co/sAoRSpHJUB', 'entities': {'url': {'urls': [{'url': 'https://t.co/sAoRSpHJUB', 'expanded_url': 'https://www.madridistas.com/', 'display_url': 'madridistas.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 45310653, 'friends_count': 65, 'listed_count': 42940, 'created_at': 'Thu May 22 19:25:51 +0000 2008', 'favourites_count': 409, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 86016, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '073763', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1496056809454551040/9Cq5XP35_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1496056809454551040/9Cq5XP35_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/14872237/1666947817', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C7D1C7', 'profile_text_color': '050000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular', 'withheld_in_countries': []}}}]	en	recent	1.58739E+18	1.58739E+18
Tue Nov 01 10:33:32 +0000 2022	1.58739E+18	1.58739E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	1.22399E+18	1.22399E+18
Tue Nov 01 10:29:14 +0000 2022	1.58739E+18	1.58739E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	9.17115E+17	9.17115E+17
Tue Nov 01 10:28:00 +0000 2022	1.58739E+18	1.58739E+18	"Blend Shacket 
22% off code: ZFTW18 @zaful_official 
SHOP&gt;&gt;https://t.co/MyKcercLBo

#WorldCupinuEth #Chargers #DWTS… https://t.co/SnhbNd3kLf"	TRUE	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>										FALSE	0	2	FALSE	FALSE	FALSE	en	[{'text': 'WorldCupinuEth', 'indices': [90, 105]}, {'text': 'Chargers', 'indices': [106, 115]}, {'text': 'DWTS', 'indices': [116, 121]}]	[]	[{'screen_name': 'zaful_official', 'name': 'ZAFUL', 'id': 818298556360466432, 'id_str': '818298556360466432', 'indices': [36, 51]}]	[{'url': 'https://t.co/MyKcercLBo', 'expanded_url': 'https://www.zaful.com/zaful-plaid-pattern-double-pockets-wool-blend-shacket-puid_4843359.html?lkid=82558848', 'display_url': 'zaful.com/zaful-plaid-pa…', 'indices': [65, 88]}, {'url': 'https://t.co/SnhbNd3kLf', 'expanded_url': 'https://twitter.com/i/web/status/1587390995410419713', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [123, 146]}]			en	recent	8.18299E+17	8.18299E+17
Tue Nov 01 10:03:04 +0000 2022	1.58738E+18	1.58738E+18	"@malambacanews
#MAXIDENT #BETHESUNinJKT #YetToCome_on_Weverse_LIVE #ElClasico"	FALSE	<a href="https://malambaca.com" rel="nofollow">MalamBacacom</a>	1.58738E+18	1.58738E+18	1.53564E+18	1.53564E+18	malambacanews					FALSE	0	0	FALSE	FALSE		und	[{'text': 'MAXIDENT', 'indices': [15, 24]}, {'text': 'BETHESUNinJKT', 'indices': [25, 39]}, {'text': 'YetToCome_on_Weverse_LIVE', 'indices': [40, 66]}, {'text': 'ElClasico', 'indices': [67, 77]}]	[]	[{'screen_name': 'malambacanews', 'name': 'malambacacom', 'id': 1535635443454451712, 'id_str': '1535635443454451712', 'indices': [0, 14]}]	[]			und	recent	1.53564E+18	1.53564E+18
Tue Nov 01 09:54:49 +0000 2022	1.58738E+18	1.58738E+18	"RT @ayamavii1: النفسية محتاجه مباراة ضد برشلونة 🥺🔥
#ElClasico https://t.co/VoIUZCT2AC"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	22	0	FALSE	FALSE	FALSE	ar	[{'text': 'ElClasico', 'indices': [51, 61]}]	[]	[{'screen_name': 'ayamavii1', 'name': '³⁵Aya¹⁴', 'id': 1324303103995371520, 'id_str': '1324303103995371520', 'indices': [3, 13]}]	[]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	[{'id': 1587162549316878340, 'id_str': '1587162549316878340', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Fga77fDWAAQi-4l.jpg', 'url': 'https://t.co/VoIUZCT2AC', 'display_url': 'pic.twitter.com/VoIUZCT2AC', 'expanded_url': 'https://twitter.com/ayamavii1/status/1587162559735635972/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1587162559735635972, 'source_status_id_str': '1587162559735635972', 'source_user_id': 1324303103995371520, 'source_user_id_str': '1324303103995371520'}]	ar	recent	9.81144E+17	9.81144E+17
Tue Nov 01 09:52:24 +0000 2022	1.58738E+18	1.58738E+18	RT @lukamodric10: Qué bonito es ser del Real Madrid. #ElClasico https://t.co/ZcBSsfcVmF	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	38536	0	FALSE	FALSE	FALSE	es	[{'text': 'ElClasico', 'indices': [53, 63]}]	[]	[{'screen_name': 'lukamodric10', 'name': 'Luka Modrić', 'id': 3395146167, 'id_str': '3395146167', 'indices': [3, 16]}]	[]	[{'id': 1581680387801157633, 'id_str': '1581680387801157633', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/FfNB7r8XEAEJoSr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FfNB7r8XEAEJoSr.jpg', 'url': 'https://t.co/ZcBSsfcVmF', 'display_url': 'pic.twitter.com/ZcBSsfcVmF', 'expanded_url': 'https://twitter.com/lukamodric10/status/1581680403458723840/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'source_status_id': 1581680403458723840, 'source_status_id_str': '1581680403458723840', 'source_user_id': 3395146167, 'source_user_id_str': '3395146167'}]	[{'id': 1581680387801157633, 'id_str': '1581680387801157633', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/FfNB7r8XEAEJoSr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FfNB7r8XEAEJoSr.jpg', 'url': 'https://t.co/ZcBSsfcVmF', 'display_url': 'pic.twitter.com/ZcBSsfcVmF', 'expanded_url': 'https://twitter.com/lukamodric10/status/1581680403458723840/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'source_status_id': 1581680403458723840, 'source_status_id_str': '1581680403458723840', 'source_user_id': 3395146167, 'source_user_id_str': '3395146167'}]	es	recent	1.1725E+18	1.1725E+18
